category_code_alphabetical,category_code_numerical,video_name_count,category,tiktok_search_prompt,link,MediaInfo_video_length_seconds,MediaInfo_video_length_milliseconds,channel,video_name_count_channel,video_pathway,length_grouping
A,1,soccer_juggling_8,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@lia.lewis/video/7480999032312188182?q=soccer%20freestyle%20girls&t=1753367996772,16.301,16301,lia.lewis,soccer_juggling_8_lia.lewis,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_8_lia.lewis.mp4,short
A,1,soccer_juggling_9,soccer_juggling,soccer juggling freestyle,https://www.tiktok.com/@pwgfreestyle/video/7447576459582967062,15.511,15511,pwgfreestyle,soccer_juggling_9_pwgfreestyle,stimuli/tiktok_stim/soccer_juggling/soccer_juggling_9_pwgfreestyle.mp4,short
B,2,dance_1,dance,passo bem salto dance,https://www.tiktok.com/@annikarchives/video/7490541171429641479?q=Passo%20Bem%20Solto%20Music%20Dance&t=1753924305417,15.7,15700,annikarchives,dance_1_annikarchives,stimuli/tiktok_stim/dance/dance_1_annikarchives.mp4,practice
B,2,dance_10,dance,passo bem solto dance,https://www.tiktok.com/@an1tahuang/video/7491411085652790583?q=Passo%20Bem%20Solto%20dance%20duet&t=1753927729039,15.47,15470,an1tahuang,dance_10_an1tahuang,stimuli/tiktok_stim/dance/dance_10_an1tahuang.mp4,practice
B,2,dance_11,dance,passo bem solto dance,https://www.tiktok.com/@trapnation/video/7483661146340199711?q=passo%20bem%20salto%20dance&t=1749671321913,14.69,14690,trapnation,dance_11_trapnation,stimuli/tiktok_stim/dance/dance_11_trapnation.mp4,practice
B,2,dance_12,dance,passo bem solto dance,https://www.tiktok.com/@heyelvinaa/video/7491406643184487726?q=Passo%20Bem%20Solto%20Music%20Dance&t=1753924305417,15.67,15670,heyelvinaa,dance_12_heyelvinaa,stimuli/tiktok_stim/dance/dance_12_heyelvinaa.mp4,practice
B,2,dance_2,dance,passo bem salto dance,https://www.tiktok.com/@dukasisun/video/7496483558849121558?q=Passo%20Bem%20Solto%20dance%20challenge&t=1753925047021,16.114,16114,dukasisun,dance_2_dukasisun,stimuli/tiktok_stim/dance/dance_2_dukasisun.mp4,practice
B,2,dance_3,dance,passo bem salto dance,https://www.tiktok.com/@bngylmz/video/7492786182326111510?q=Passo%20Bem%20Solto%20Music%20Dance&t=1753924305417,15.47,15470,bngylmz,dance_3_bngylmz,stimuli/tiktok_stim/dance/dance_3_bngylmz.mp4,practice
B,2,dance_4,dance,passo bem salto dance,https://www.tiktok.com/@hxxynnnis/video/7513626691109981458?q=passo%20bem%20salto%20dance&t=1753905507901,15.93,15930,hxxynnnis,dance_4_hxxynnnis,stimuli/tiktok_stim/dance/dance_4_hxxynnnis.mp4,practice
B,2,dance_5,dance,passo bem salto dance,https://www.tiktok.com/@tiktot2013/video/7494792290548976901?q=passo%20bem%20salto%20dance&t=1752845632766,15.511,15511,tiktot2013,dance_5_tiktot2013,stimuli/tiktok_stim/dance/dance_5_tiktot2013.mp4,practice
B,2,dance_6,dance,passo bem salto dance,https://www.tiktok.com/@emiliyyam/video/7487986972707786002?q=passo%20bem%20salto%20dance&t=1752845966114,14.583,14583,emiliyyam,dance_6_emiliyyam,stimuli/tiktok_stim/dance/dance_6_emiliyyam.mp4,practice
B,2,dance_7,dance,passo bem salto dance,https://www.tiktok.com/@papitomass/video/7491205338000018731?q=passo%20bem%20salto%20dance&t=1752845966114,13.956,13956,papitomass,dance_7_papitomass,stimuli/tiktok_stim/dance/dance_7_papitomass.mp4,practice
B,2,dance_8,dance,passo bem salto dance,https://www.tiktok.com/@userd120j1940li/video/7499714039799385374?q=Passo%20Bem%20Solto%20dance%20challenge&t=1753925047021,15.1,15100,userd120j1940li,dance_8_userd120j1940li,stimuli/tiktok_stim/dance/dance_8_userd120j1940li.mp4,practice
B,2,dance_9,dance,passo bem solto dance,https://www.tiktok.com/@betweendeadlines/video/7511426350582975750?q=passo%20bem%20salto%20solo&t=1753454176411,14.72,14720,betweendeadlines,dance_9_betweendeadlines,stimuli/tiktok_stim/dance/dance_9_betweendeadlines.mp4,practice
C,3,dogs_1,dogs,dog growth timelapse,https://www.tiktok.com/@marleaux.m/video/7530715443649137933?q=dog%20growth%20timelapse&t=1753560618810,21.572,21572,marleaux.m,dogs_1_marleaux.m,stimuli/tiktok_stim/dogs/dogs_1_marleaux.m.mp4,medium
C,3,dogs_10,dogs,puppy growth trend,https://www.tiktok.com/@kira_theminishepherd/video/7468827165585444118?q=puppy%20progression%20growth&t=1753209751718,18.159,18159,kira_theminishepherd,dogs_10_kira_theminishepherd,stimuli/tiktok_stim/dogs/dogs_10_kira_theminishepherd.mp4,medium
C,3,dogs_11,dogs,puppy growth videos,https://www.tiktok.com/@abbyw629/video/7495890266881019166?q=puppy%20growth%20mirror&t=1753210176464,19.412,19412,abbyw629,dogs_11_abbyw629,stimuli/tiktok_stim/dogs/dogs_11_abbyw629.mp4,medium
C,3,dogs_12,dogs,puppy growth videos,https://www.tiktok.com/@hudsonthe_goldenboy/video/7127707889602415878?q=puppy%20growth%20videos&t=1753210337876,14.905,14905,hudsonthe_goldenboy,dogs_12_hudsonthe_goldenboy,stimuli/tiktok_stim/dogs/dogs_12_hudsonthe_goldenboy.mp4,medium
C,3,dogs_2,dogs,dog growth timelapse,https://www.tiktok.com/@tiktoktonit/video/7132698226226040110?q=dog%20growth%20timelapse&t=1753208712420,26.376,26376,tiktoktonit,dogs_2_tiktoktonit,stimuli/tiktok_stim/dogs/dogs_2_tiktoktonit.mp4,medium
C,3,dogs_3,dogs,dog growth timelapse,https://www.tiktok.com/@jordandreyer/video/7039089078163311878?q=dog%20growth%20timelapse&t=1753560618810,26,26000,jordandreyer,dogs_3_jordandreyer,stimuli/tiktok_stim/dogs/dogs_3_jordandreyer.mp4,medium
C,3,dogs_4,dogs,dog growth timelapse,https://www.tiktok.com/@victoria_venti/video/7388184325948296491?q=dog%20growth%20timelapse&t=1753208712420,24.846,24846,victoria_venti,dogs_4_victoria_venti,stimuli/tiktok_stim/dogs/dogs_4_victoria_venti.mp4,medium
C,3,dogs_5,dogs,dog growth timelapse,https://www.tiktok.com/@mavandthemontes/video/7512442517132938527?q=dog%20growth%20timelapse&t=1753208712420,15.953,15953,mavandthemontes,dogs_5_mavandthemontes,stimuli/tiktok_stim/dogs/dogs_5_mavandthemontes.mp4,medium
C,3,dogs_6,dogs,puppy growth timelapse,https://www.tiktok.com/@harrythechow/video/7212718476224662789?q=puppy%20growth%20trend&t=1753209610429,21.711,21711,harrythechow,dogs_6_harrythechow,stimuli/tiktok_stim/dogs/dogs_6_harrythechow.mp4,medium
C,3,dogs_7,dogs,puppy growth timelapse,https://www.tiktok.com/@dukethatgolden/video/7271029106190454062?q=puppy%20progression%20growth&t=1753209751718,20.248,20248,dukethatgolden,dogs_7_dukethatgolden,stimuli/tiktok_stim/dogs/dogs_7_dukethatgolden.mp4,medium
C,3,dogs_8,dogs,puppy growth timelapse,https://www.tiktok.com/@keepin.up.with.theo/video/7329641330341350698?q=puppy%20progression%20growth&t=1753209751718,13.886,13886,keepin.up.with.theo,dogs_8_keepin.up.with.theo,stimuli/tiktok_stim/dogs/dogs_8_keepin.up.with.theo.mp4,medium
C,3,dogs_9,dogs,puppy growth trend,https://www.tiktok.com/@stephanieprosa/video/7297313793854623022?q=puppy%20progression%20growth&t=1753209751718,31.487,31487,stephanieprosa,dogs_9_stephanieprosa,stimuli/tiktok_stim/dogs/dogs_9_stephanieprosa.mp4,medium
D,4,unboxing_1,unboxing,unboxing packages,https://www.tiktok.com/@princessstephhh_/video/7171901786918489390?lang=en&q=unbox%20random%20package&t=1754169750958,17.761,17761,princessstephhh_,unboxing_1_princesssstephhh_,stimuli/tiktok_stim/unboxing/unboxing_1_princesssstephhh_.mp4,short
D,4,unboxing_10,unboxing,unboxing with me,https://www.tiktok.com/@mypixiehollow/video/7264153116780563717?q=open%20boxes%20with%20me&t=1749733595386,12.168,12168,mypixiehollow,unboxing_10_mypixiehollow,stimuli/tiktok_stim/unboxing/unboxing_10_mypixiehollow.mp4,short
D,4,unboxing_11,unboxing,unboxing with me watch,https://www.tiktok.com/@kenzieshops/video/7340442417579085102?lang=en&q=unbox%20with%20me%20watch&t=1753456159051,16.347,16347,kenzieshops,unboxing_11_kenzieshops,stimuli/tiktok_stim/unboxing/unboxing_11_kenzieshops.mp4,short
D,4,unboxing_12,unboxing,unboxing with me,https://www.tiktok.com/@pamelagisellee/video/7286098112886754606?lang=en&q=unboxing%20with%20me&t=1752850690082,30.47,30470,pamelagisellee,unboxing_12_pamelagisellee,stimuli/tiktok_stim/unboxing/unboxing_12_pamelagisellee.mp4,short
D,4,unboxing_2,unboxing,unbox with me,https://www.tiktok.com/@sraqtnx/video/7492758175783963911,15.837,15837,sraqtnx,unboxing_2_sraqtnx,stimuli/tiktok_stim/unboxing/unboxing_2_sraqtnx.mp4,short
D,4,unboxing_3,unboxing,unbox with me,https://www.tiktok.com/@halliewallsxo/video/7491379404782783774?q=unbox%20new&t=1754168836530,17.392,17392,halliewallsxo,unboxing_3_halliewallsxo,stimuli/tiktok_stim/unboxing/unboxing_3_halliewallsxo.mp4,short
D,4,unboxing_4,unboxing,unbox with me,https://www.tiktok.com/@jenniferalmeidax/video/7491019539581242667?lang=en&q=unbox%20with%20me&t=1752847571266,20.155,20155,jenniferalmeidax,unboxing_4_jenniferalmeidax,stimuli/tiktok_stim/unboxing/unboxing_4_jenniferalmeidax.mp4,short
D,4,unboxing_5,unboxing,unbox with me,https://www.tiktok.com/@arusthebrand/video/7436010106543705351?lang=en&q=unbox%20with%20me&t=1752847571266,15.419,15419,arusthebrand,unboxing_5_arusthebrand,stimuli/tiktok_stim/unboxing/unboxing_5_arusthebrand.mp4,short
D,4,unboxing_6,unboxing,unbox with me,https://www.tiktok.com/@evitachoo/video/7513440409469603094?lang=en&q=unbox%20with%20me&t=1752847571266,22.617,22617,evitachoo,unboxing_6_evitachoo,stimuli/tiktok_stim/unboxing/unboxing_6_evitachoo.mp4,short
D,4,unboxing_7,unboxing,unbox with me,https://www.tiktok.com/@gabrielak.x/video/7423696646698994977?lang=en&q=unbox%20with%20me&t=1752847571266,21.316,21316,gabrielak.x,unboxing_7_gabrielak.x,stimuli/tiktok_stim/unboxing/unboxing_7_gabrielak.x.mp4,short
D,4,unboxing_8,unboxing,unbox with me,https://www.tiktok.com/@lucy.ezinne/video/7390082283505585438,21.634,21634,lucy.ezinne,unboxing_8_lucy.ezinne,stimuli/tiktok_stim/unboxing/unboxing_8_lucy.ezinne.mp4,short
